,company_name,rating,reviews,salary,n_interviews,n_jobs,n_photos
0,TCS,3.8,74.8k,853.3k,6.8k,824,77
1,Accenture,4.0,47.4k,584.1k,4.8k,27k,39
2,Cognizant,3.9,42.8k,562.1k,4k,427,63
3,Wipro,3.8,40.3k,427.1k,4k,273,79
4,Capgemini,3.9,34.8k,414.9k,3.2k,576,36
5,HDFC Bank,4.0,34.6k,131.3k,1.6k,178,5
6,ICICI Bank,4.0,34.2k,141.3k,2k,41,48
7,Infosys,3.8,32.6k,459.1k,5.2k,713,90
8,HCLTech,3.7,29.3k,294.4k,2.7k,262,35
9,Tech Mahindra,3.7,28.3k,253k,2.6k,870,43
10,Genpact,3.9,26.7k,187.7k,2.1k,586,37
11,Axis Bank,3.9,22.4k,96.4k,1.2k,160,52
12,Teleperformance,3.7,22.6k,84.3k,1.4k,355,31
13,Concentrix Corporation,3.9,22.3k,106.2k,1.2k,69,37
14,Jio,4.0,21k,66.2k,1.3k,134,44
15,Amazon,4.1,21k,121.3k,3.6k,170,73
16,IBM,4.1,20k,217.7k,1.6k,1.9k,20
17,Reliance Retail,4.0,19.2k,59.4k,1.2k,123,101
18,HDB Financial Services,4.0,18.5k,49.5k,618,150,33
19,Larsen & Toubro Limited,4.1,16.9k,78k,1.1k,140,36
20,Vodafone Idea,4.2,15.5k,58.1k,453,10,10
21,BYJU'S,3.1,15k,60k,1.9k,524,26
22,Kotak Mahindra Bank,3.9,14.6k,77.6k,781,27,22
23,Deloitte,3.9,14.2k,177.6k,1.8k,83,22
24,Reliance Industries,4.1,14k,65.3k,998,13,33
25,iEnergizer,4.7,14.6k,18.6k,332,301,17
26,Bharti Airtel,4.1,12.5k,43.7k,618,161,74
27,Tata Motors,4.2,10.7k,41.5k,750,74,14
28,WNS,3.5,9.9k,54.7k,763,90,11
29,Flipkart,4.1,9.5k,47k,1k,229,89
30,IndusInd Bank,3.7,9.4k,46.4k,441,170,6
31,Ernst & Young,3.6,9.2k,124.1k,826,263,4
32,AU Small Finance Bank,4.5,8.8k,18.4k,322,74,10
33,Mahindra & Mahindra,4.2,8.8k,36.2k,510,19,8
34,Infosys BPM,3.8,8.5k,59.4k,727,63,12
35,DXC Technology,3.8,8.5k,80.4k,615,78,4
36,IDFC FIRST Bank,4.0,8.4k,40.2k,469,62,28
37,Conneqt Business Solutions,3.7,8k,25.3k,355,451,16
38,LTIMindtree,3.7,8k,97.1k,1.1k,97,20
39,HDFC Life,4.1,7.9k,29.3k,452,198,34
40,Bajaj Finserv,4.1,7.8k,25.3k,362,38,3
41,Mphasis,3.5,7.2k,64.5k,545,154,10
42,PwC,3.6,7.2k,83.5k,862,1.1k,22
43,HSBC Group,4.1,6.9k,60.3k,395,13,4
44,Startek,3.3,6.9k,22.7k,349,67,6
45,Hinduja Global Solutions,4.0,6.8k,24.4k,187,56,31
46,Samsung,4.1,6.8k,26.8k,434,22,10
47,Ericsson,4.3,6.7k,43.6k,303,353,18
48,Maruti Suzuki,4.3,6.7k,25.1k,475,1,13
49,Shriram Finance,4.1,6.6k,12.9k,238,45,20
50,Asian Paints,4.1,6.5k,21.3k,495,23,25
51,Yes Bank,3.9,6.5k,40.5k,314,8,9
52,Cipla,4.1,6.3k,23.8k,380,51,17
53,Dr. Reddy's,4.2,6.1k,23.7k,293,150,21
54,Sutherland Global Services,3.7,6.1k,27.5k,409,287,22
55,Paytm,3.5,6.1k,30.9k,492,106,19
56,Bandhan Bank,3.8,6.1k,20k,399,12,10
57,UltraTech Cement,4.2,6k,21.3k,411,7,28
58,EXL Service,3.8,6k,37.4k,498,78,13
59,NTT DATA,4.0,6k,51.7k,454,128,16
60,ICICI Prudential Life Insurance,4.1,5.7k,22k,299,119,7
61,Bajaj Finance,4.1,5.7k,19.2k,237,16,4
62,Jana Small Finance Bank,3.9,5.7k,14.6k,186,64,7
63,Lupin,4.1,5.5k,22.3k,262,34,7
64,Indian Army,4.7,5.4k,9.5k,127,--,2
